categories|titles|contents|urls
AZ|澎湖確診數升 兒童疫苗接種率已逾7成|澎湖COVID-19（2019冠狀病毒疾病）確診數攀升，澎湖縣政府今天公布新增182例，還有一名接種2劑疫苗的92歲確診女性不治。另外，澎湖5至11歲兒童疫苗接種種率已逾7成。澎湖縣政府表示，92歲女性長者己施打過2劑AZ疫苗，6日經診所通報確診，申請居家照護，7日因呼吸急性衰竭，送衛福部澎湖醫院急診，今天凌晨不幸過世，確切死因仍需由中央疫情指揮中心認定。澎湖縣政府表示，澎湖5至11歲兒童疫苗接種，全縣37所國小和9所幼兒園4569名學童中，目前完成莫德納與輝瑞兒童疫苗接種者，分別有1108和2278人，接種率逾7成。澎湖縣政府今天公布新增182例確診案例，外籍人士4例、外縣市1例，其餘177例均為澎湖籍，以20至29歲和30至39歲年齡層，各為31人最多，年紀最小是10個月大男童，最長為101歲女性，除集中檢疫所和三總各收治1例外，其餘全數申請居家照護照。澎湖累積有3896例確診，目前還收治有1030人。|https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9hbG9jLzIwMjIwNjA4MDMzNC5hc3B40gE2aHR0cHM6Ly93d3cuY25hLmNvbS50dy9hbXAvbmV3cy9hbG9jLzIwMjIwNjA4MDMzNC5hc3B4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|北市50多歲女打AZ疫苗後死亡 獲救濟金600萬史上最高|衛福部預防接種受害救濟審議小組公布最新結果，台北市50多歲女性接種AZ疫苗後血栓併血小板低下症死亡，獲法定最高救濟上限新台幣600萬，也是台灣疫苗接種史上最高救濟金額數目。衛生福利部預防接種受害救濟審議小組（VICP）今年3月10日開會，這次COVID-19（2019冠狀病毒疾病）疫苗接種救濟審議57案，僅7案核予救濟，分別為莫德納疫苗2案，救濟金介於新台幣2.5萬元至30萬元、4案AZ疫苗，金額介於6000元至600萬元、1案BNT疫苗救濟金額為2.5萬元。其餘50案皆不予救濟。核予救濟600萬元救濟金個案，為台北市50多歲女性，接種AZ疫苗後出現血栓併血小板低下症致死亡。據會議報告顯示，個案無慢性病病史，也無任何固有疾病史足以引起血栓併血小板低下症候群，但個案血液檢驗結果顯示其確實罹患血栓併血小板低下症候群。專家認為，個案發病時間在接種AZ疫苗後，是可能發生血栓併血小板低下症候群合理時間內，研判個案血栓併血小板低下症候群與疫苗接種相關，個案血栓併血小板低下症候群直接造成腦部梗塞及導致腦壓升高，併發後續腦出血致死，認定個案死亡與接種AZ疫苗。中央流行疫情指揮中心發言人莊人祥今天晚間接受媒體聯訪時表示，自去年3月中旬接種COVID-19疫苗起，此案為目前核予救濟的最高金額者，已達法定最高救濟金額上限，更創下預防接種受害救濟制度創辦以來，在所有種類疫苗接種救濟中，首度出現救濟金600萬元。莊人祥也表示，雖然此案並非首例接種COVID-19疫苗後死亡或救濟個案，但是專家首度認定死因與COVID-19疫苗接種有關個案，過去死亡個案都是無法確定關聯性，核予大約50萬元左右救濟金。另外，這次予以救濟案件中，值得注意的還有1例BNT疫苗救濟案，莊人祥表示，此案為10多歲青少年，個案接種BNT疫苗4天後出現心悸及胸口不適等症狀，經醫師診斷為心肌炎，與接種BNT疫苗相關，核予救濟金2.5萬元，是COVID-19疫苗接種救濟最年輕個案。|https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9haGVsLzIwMjIwMzI5MDM5MC5hc3B40gE2aHR0cHM6Ly93d3cuY25hLmNvbS50dy9hbXAvbmV3cy9haGVsLzIwMjIwMzI5MDM5MC5hc3B4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|日本評估打不完 取消4000萬劑AZ疫苗訂單|日本下訂1億2000萬劑英國阿斯特捷利康（AstraZeneca，簡稱AZ）疫苗，但因日本規定接種AZ疫苗的對象有限，預期今後施打人數不會大幅增加，因此取消4000萬劑訂單。日本放送協會（NHK）報導，日本簽約購買1億2000萬劑AZ疫苗，但因接種後會有極低機率出現血栓副作用，厚生勞動省去年8月將AZ列入公費施打疫苗時，規定原則上接種對象為40歲以上人士。此外，若對日本主要使用的美國輝瑞（Pfizer）疫苗及美國莫德納（Moderna）疫苗過敏者也可接種AZ疫苗，厚勞省至今共分配20萬劑AZ疫苗給負責接種的各地方政府，不過截至本月10日的8個月內，僅施打了約12萬劑。厚勞省研判，預期今後日本國內施打AZ疫苗的人數不會大幅增加，因此取消4000萬劑訂單。厚勞省表示，即使取消4000萬劑也不會影響日本國內疫苗供貨。至於取消訂單費用，依契約規定不得公開。在日本訂購的8000萬劑AZ疫苗中，有4300萬劑已捐助給國外，主要對象為開發中國家，日本將進一步安排提供更多疫苗給他國。|https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9hb3BsLzIwMjIwNDEyMDA2MS5hc3B40gE2aHR0cHM6Ly93d3cuY25hLmNvbS50dy9hbXAvbmV3cy9hb3BsLzIwMjIwNDEyMDA2MS5hc3B4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|AZ疫苗發明人警告 下一場大流行可能更致命|AZ疫苗研發團隊領導人兼牛津大學教授吉伯特坦言，面對COVID-19變種病毒Omicron，現有疫苗預防感染的效力可能降低；她也警告，下場大流行恐將更加致命。「英國廣播公司新聞網」（BBC News）與「衛報」（the Guardian）報導，吉伯特（Sarah Gilbert）在李察丁布比講座（Richard Dimbleby Lecture）中指出，儘管極具破壞力的COVID-19（2019冠狀病毒疾病）疫情已肆虐2年，導致逾2.65億人染疫、500多萬人喪命，但「這不會是病毒最後一次威脅人類的生命安全與生計」。事實上，「下一場大流行恐怕更糟，屆時傳染力可能更強或更致命，甚至是兩者兼具。」吉伯特表示，「我們不能在經歷過這一切後，又發現巨額經濟損失導致我們沒有足夠資金來準備應對下一次的大流行。正如我們會投資軍隊、情報和外交來應對戰爭，我們也必須投資人員、研究、生產和與相關機構，以抵禦大流行。」吉伯特坦言，新變種病毒Omicron包含已知會增加病毒傳染力的突變，且源自疫苗接種或先前感染生成的抗體在預防Omicron方面可能不那麼有效。她也不忘強調，儘管在預防Omicron感染上，疫苗效果可能會減低，但「這不代表疫苗預防重症和死亡的能力也會下降。」她呼籲，「在我們（對Omicron）了解更多前，應該保持謹慎，並採取相應措施，減緩這種新變種的傳播速度。」據報導，目前Omicron變異株已蔓延全球30多國，英國也已累計246起相關病例，促使當局重新祭出入境限制。然而，專家認為，現在採取這類措施猶如當馬逃脫後才關起馬廄門欄，恐為時已晚。英國今天通報新增4萬3992起COVID-19確診病例，其中86人感染Omicron，還有54人在確診28天內死亡。|https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9maXJzdG5ld3MvMjAyMTEyMDYwMjkxLmFzcHjSATtodHRwczovL3d3dy5jbmEuY29tLnR3L2FtcC9uZXdzL2ZpcnN0bmV3cy8yMDIxMTIwNjAyOTEuYXNweA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|AZ疫苗第2劑本週開放50至64歲預約 可望雙十連假前開打|指揮中心今天公布，AZ疫苗第2劑改由線上預約，即起開放9月30日前間隔滿10週以上50歲至64歲民眾意願登記，符合資格者約93萬人，本週開放預約，可望雙十連假前開打。中央流行疫情指揮中心原規劃COVID-19（2019冠狀病毒疾病）疫苗第10輪10月3日開放接種BNT疫苗第1劑及高端第2劑，但考量AZ疫苗第2劑由縣市造冊不易，50歲至64歲改為線上預約，且BNT疫苗因到貨日延至30日還須再評估開打時程，指揮中心今天更正疫苗預約平台第10輪接種規劃。指揮中心發言人莊人祥說明，第10輪改提供高端疫苗第2劑及AZ疫苗第2劑，因調整接種疫苗種類，第10輪開打日將延期，初步規劃應可在雙十連假前開打。預計本週內開放預約，近2天將公布第10期預約及施打詳細日期。原規劃9月29日至30日配送至各縣市的AZ疫苗，時程照舊不受影響。符合預約第10輪AZ疫苗第2劑對象為9月30日前符合間隔滿10週以上64歲至50歲（即1957年1月1日至1971年12月31日間出生）。莊人祥說，推估第10輪符合資格接種AZ疫苗第2劑的民眾約93萬人，強調都可以在第10輪完成接種。AZ第2劑65歲以上（及機構對象）則由地方政府造冊安排接種。指揮中心指揮官陳時中提醒，意願登記自即日起至9月29日中午12時止，符合此期接種資格對象，如未曾進行意願登記，請於9月29日中午12時前完成登記意願，後續才可依時程預約。如過去已完成意願登記且無取消者，資料均會保留，無須再次登記意願。|https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9maXJzdG5ld3MvMjAyMTA5MjcwMTkzLmFzcHjSATtodHRwczovL3d3dy5jbmEuY29tLnR3L2FtcC9uZXdzL2ZpcnN0bmV3cy8yMDIxMDkyNzAxOTMuYXNweA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|第8輪疫苗接種以AZ第2劑為主 將開放逾80萬劑供預約|第8輪COVID-19疫苗初步規劃出爐，指揮中心發言人莊人祥今天下午透露，第8輪接種以第2劑AZ疫苗為主，將開放今天到貨2批AZ疫苗約80多萬劑供民眾施打，預約時程規劃中。第7輪加開預約COVID-19（2019冠狀病毒疾病）疫苗已於昨天晚間6時結束，外界盼下一輪預約規劃盡快出爐，指揮中心日前透露，第8輪非接種BNT疫苗，待確認疫苗到貨數量及時程，才會公布預約日期、對象。國內今天一口氣到貨2批阿斯特捷利康（AZ）疫苗，分別為波蘭贈送的40萬劑及台灣透過COVAX獲配的第3批AZ疫苗41.04萬劑，指揮中心指揮官陳時中今天下午在記者會中表示，今天到貨的AZ疫苗都會準備給近期需要施打第2劑疫苗的民眾使用。莊人祥今天下午接受媒體聯訪時解釋，由於22歲以下民眾可優先接種BNT疫苗，考量AZ疫苗已開放到7月19日前勾選23歲民眾接種，已有一大批民眾等待接種第2劑AZ疫苗，所以決定將今天到貨的波蘭贈送、COVAX採購及第7輪剩餘的疫苗，將開放逾80萬劑供預約。據指揮中心統計，9月3日COVID-19疫苗接種9萬8637劑，陳時中表示，第7輪AZ疫苗開打2天，報到率分別為89.1%、84%，國內COVID-19疫苗接種踴躍，COVID-19疫苗接種人口涵蓋率44.18%，劑次人口比48.35 （劑/每百人）。憂國內疫情恐受長榮機師確診影響，前疾管局局長蘇益仁近期呼籲，儘速開放民眾接種第2劑疫苗；對此，陳時中重申，國內疫苗接種策略仍是希望第1劑疫苗接種到一定程度後，再啟動第2劑施打計畫，同步視進貨量滾動式檢討。|https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9maXJzdG5ld3MvMjAyMTA5MDUwMTExLmFzcHjSATtodHRwczovL3d3dy5jbmEuY29tLnR3L2FtcC9uZXdzL2ZpcnN0bmV3cy8yMDIxMDkwNTAxMTEuYXNweA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|AZ疫苗52.4萬劑到貨 陳時中：接種規劃待定 不排除保留給第2劑|疫情指揮中心指揮官陳時中今天表示，AZ疫苗約52.4萬劑，預定下午3時40分抵達桃園國際機場，本批效期至110年12月31日，希望國內施打對象年齡層再往下開放。行政院長蘇貞昌今天表示，政府自購的52.4萬劑阿斯特捷利康（AZ）的COVID-19（2019冠狀病毒疾病）疫苗，中午將從泰國起飛，預計下午3時許抵達台灣。加上這批疫苗，台灣取得的疫苗將超過1000萬劑。陳時中今天下午在中央流行疫情指揮中心記者會中表示，今天到貨的52.4萬劑AZ疫苗待完成通關程序後，直接運送至指定冷儲物流中心進行後續檢驗封緘作業，再提供COVID-19接種計畫所列實施對象接種。針對52.4萬劑AZ疫苗是否可能直接銜接在第6輪後提供施打，陳時中說，新疫苗到貨，原則上希望接種年齡層仍繼續往下開放，但若多數民眾需要開始接種第2劑，也不排除保留，強調細節尚待討論，接種規劃待敲定。陳時中指出，指揮中心去年10月30日與台灣阿斯特捷利康公司簽署1000萬劑COVID-19疫苗供應合約，先前已到貨3月3日11.7萬劑、7月7日62.6萬劑、7月15日56萬劑、7月27日58.2萬劑。陳時中說，這次提供是第5批疫苗，截至目前總計約241萬劑到貨。提供疫苗為多劑型包裝（每瓶10人份），須存放於攝氏2到8度的環境。|https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9maXJzdG5ld3MvMjAyMTA4MTIwMTY5LmFzcHjSATtodHRwczovL3d3dy5jbmEuY29tLnR3L2FtcC9uZXdzL2ZpcnN0bmV3cy8yMDIxMDgxMjAxNjkuYXNweA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|AZ疫苗吃緊 指揮中心：第5輪接種擬以莫德納為主|COVID-19疫苗吃緊，國內現有的117萬劑AZ疫苗最快第4輪就要見底，接下來第5輪指揮中心規劃以莫德納疫苗為主，且多作為第2劑，若近期有新一批疫苗抵台，將再做調整。COVID-19（2019冠狀病毒疾病）疫苗供貨吃緊，根據中央流行疫情指揮中心最新統計，國內莫德納疫苗僅剩68.9萬劑，阿斯特捷利康（AZ）疫苗則剩57.5萬劑，加上仍在檢驗封緘的AZ疫苗共有約117萬劑。指揮中心發言人莊人祥今天表示，57.5萬劑AZ疫苗預計還夠用到8月3日，等到自購的58.2萬劑AZ疫苗、立陶宛贈送的2萬劑AZ疫苗完成檢驗放行後，將儘速撥發至縣市供民眾施打，以此推估，第4輪預約登記的民眾都能順利打到疫苗。不過，在第4輪過後，AZ疫苗存量已幾乎見底，在沒有新一批的疫苗到貨之前，第5輪預計將以莫德納疫苗為主。指揮中心指揮官陳時中指出，扣除已撥發至地方的莫德納疫苗，中央手上仍有約56萬劑莫德納疫苗，多數將作為第2劑施打，但仍會有部分提供第1劑接種的民眾使用，希望最近能有新的疫苗抵台，才能提供較多疫苗給民眾使用。陳時中也提醒，符合第2劑莫德納疫苗接種資格的第1到3類對象及孕婦，務必在3日中午12時之前上預約平台登記，只要登記了，基本上都打得到。莊人祥也表示，目前疫苗確實較吃緊，若8月4日前又有新一批的疫苗抵台，會再根據疫苗到貨廠牌、數量，調整第5輪開放的疫苗規劃。除了AZ、莫德納疫苗，外界也關心第5輪是否開放施打高端疫苗。陳時中指出，未來若高端疫苗有一定產量就會開放，並不是要累計到很大一批量才開打；但至少要確保產量確定，才會配合預約平台開放民眾登記預約。|https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9maXJzdG5ld3MvMjAyMTA4MDEwMTMwLmFzcHjSATtodHRwczovL3d3dy5jbmEuY29tLnR3L2FtcC9uZXdzL2ZpcnN0bmV3cy8yMDIxMDgwMTAxMzAuYXNweA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|AZ疫苗136萬劑13日下午到貨 效期至111年1月31日|中央流行疫情指揮中心今天表示，自購AZ疫苗約136萬劑預定於今天下午抵達桃園國際機場，本批效期至111年1月31日，預計提供第12輪的COVID-19疫苗施打。中央流行疫情指揮中心指揮官陳時中今天下午記者會中說明，這批AZ疫苗待完成通關程序後，直接運送至指定冷儲物流中心進行後續檢驗封緘作業，再提供COVID-19（2019冠狀病毒疾病）疫苗接種計畫所列實施對象接種。這批新到貨阿斯特捷利康（AZ）疫苗可滿足國內民眾對於AZ疫苗第2劑需求，總共300多萬劑AZ疫苗可使用。陳時中指出，去年10月30日與台灣阿斯特捷利康公司簽署1000萬劑COVID-19疫苗供應合約，截至目前總計已超過638萬劑到貨，分別為3月3日11.7萬劑、7月7日62.6萬劑、7月15日56萬劑、7月27日58.2萬劑、8月12日52.4萬劑、8月27日26.5萬劑、8月31日59.5萬劑。還有9月10日45.8萬劑、9月17日64萬劑、9月30日65.6萬劑，及本次提供第11批136萬劑疫苗。陳時中說，本次提供的疫苗為多劑型包裝（每瓶10人份），須存放於攝氏2至8度的環境，依臨床試驗每人須施打2劑。|https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9maXJzdG5ld3MvMjAyMTEwMTMwMTY2LmFzcHjSATtodHRwczovL3d3dy5jbmEuY29tLnR3L2FtcC9uZXdzL2ZpcnN0bmV3cy8yMDIxMTAxMzAxNjYuYXNweA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
AZ|200萬劑AZ恐打不完報廢 陳時中：必須超額準備|國內有200多萬劑AZ疫苗最晚5月下旬將過期，外交部尋求海外捐贈管道。指揮中心指揮官陳時中今天說，盡量接種，但打不完可能性高，過期只好報廢，防疫期超額準備有必要性。國內COVID-19（2019冠狀病毒疾病）疫情收斂，疫苗打氣趨緩。高端疫苗還剩約256萬劑須在7月前打完，中央流行疫情指揮中心初估，世界衛生組織（WHO）近月將公布高端疫苗臨床試驗，疫苗應用得完，反倒是200多萬劑AZ疫苗最晚5月下旬將過期，可能得全數銷毀或是贈與國內研究單位。陳時中今天上午出席第92屆國醫節暨第14屆台北國際中醫藥學術論壇開幕典禮，會後接受媒體聯訪時，被問及如何催打5月下旬將過期的AZ疫苗。他回應，國內民眾要打這批AZ疫苗，就會繼續盡量打，但以目前施打狀況評估，效期前全數打完可能性低。陳時中說，疫苗過期只好報廢，但強調COVID-19防疫期間不論是疫苗或藥物都會有超額準備必要性，若只採購剛好的數量，容易受到疫苗或藥物進出貨安排、廠商供應決策等不確定因素影響，為了避免國內疫苗或藥物不足，都會超額準備。接種COVID-19疫苗是恢復正常生活關鍵之一，台灣正往經濟防疫模式前進，但近日出現旅遊團染疫事件，有學者建議，參與旅行團民眾最好打過3劑再出團。對此，陳時中說，台灣並非所有人都已符合接種第3劑資格，但仍鼓勵符合資格者團體活動前能夠打好打滿。針對高雄自助餐個案延伸旅行團案，陳時中指出，這起群聚現階段尚未出現大規模傳播，至於傳染源頭在哪，待進一步研判，再次呼籲民眾有症狀就不要參加團體活動，盡量連上班都應該請假，才不會在可傳染期造成社區傳播風險。面對後疫情時代，除了境內陸續鬆綁，3月7日起入境檢疫天數縮短為10天，大量入境人數是否對防疫旅館造成壓力，以及在家隔離的感染管控施行困難與否，新制對社區影響值得觀察。陳時中說，本週新制上路，入境人數及國家皆未突發性增加，維持舊制期間的每週約1萬多人。隨著國內疫情穩定，參選台北市長呼聲高的陳時中是否投入選舉備受關注。陳時中出席台北市中醫師公會活動上台致詞時，台下有人高喊「市長好」，他僅一笑而過。會後媒體再次問及疫情後是否出來選，他說：「不會有這個，現在還關心不到這個訊息。」|https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3LmNuYS5jb20udHcvbmV3cy9haGVsLzIwMjIwMzA2MDAzNS5hc3B40gE2aHR0cHM6Ly93d3cuY25hLmNvbS50dy9hbXAvbmV3cy9haGVsLzIwMjIwMzA2MDAzNS5hc3B4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant
